Used_Algorithm,run_id,video_name,video_length,video_avg_bitrate_quality1,video_avg_bitrate_quality2,video_avg_bitrate_quality3,video_avg_bitrate_quality4,video_avg_bitrate_quality5,pattern_avg_throughput,pattern_timeshift,sim_avg_quality,sim_nr_of_switches,sim_nr_of_stallings,sim_avg_stalling_time,sim_total_stalling_time,sim_max_stalling_time,sim_avg_buffer_level,sim_max_buffer_level,sim_startup_nr_of_stallings,sim_startup_nr_of_switches,sim_startup_total_stalling_time,sim_endphase_nr_of_stallings,sim_endphase_nr_of_switches,sim_endphase_total_stalling_time,sim_critbuff_time,sim_lowbuff_time,sim_riskybuff_time,sim_healthybuff_time,sim_bloatedbuff_time,sim_jumps_1_levels,sim_jumps_2_levels,sim_jumps_3_levels,sim_jumps_4_levels,opt_avg_quality,opt_nr_of_switches,opt_avg_buffer_level,opt_max_buffer_level,opt_critbuff_time,opt_lowbuff_time,opt_riskybuff_time,opt_healthybuff_time,opt_bloatedbuff_time,opt_jumps_1_levels,opt_jumps_2_levels,opt_jumps_3_levels,opt_jumps_4_levels,opt_avg_quality_afull,opt_nr_of_switches_afull,buff_D,meta_alpha,meta_nn_model
KLUDCP,3831b3e0-457e-4b8e-a263-0a598eee9684,kxLoycj4pJY,398,0.367872362,0.661927136,0.036880402,0.082255779,0.190305528,0.007727784,518,3.708542714,111,0,0,0,0,13.89724311,26,0,10,0,0,3,0,1.473284357,80.81433238,180.3615855,196.3619514,0,95,14,1,1,3.914572864,2,16.81806775,34,30.69459965,79.55423573,158.6981211,228.3206439,0,2,0,0,0,3.994974874,100,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,38477016-635e-4e2e-84e1-ba26f5f6cc57,vlDzYIIOYmM,242,0.391944331,0.782973223,0.037585675,0.083042799,0.214413223,0.013921809,56,3.301652893,72,0,0,0,0,10.41563786,21,0,9,0,0,3,0,0.207817325,35.75109966,225.4777601,0.047217945,0,70,2,0,0,3.433884298,2,25.85154639,48,8.060476628,26.50153855,40.97054818,191.4304283,0,2,0,0,0,3.520661157,86,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,385643dd-1256-4d54-9481-0420c02b8db0,ntkD_Iumjlo,404,0.30430631,0.528492079,0.029550832,0.065593426,0.16973697,0.00685135,336,3.386138614,101,0,0,0,0,12.2345679,18,0,11,0,0,4,0,1.039877567,27.09858324,306.8961005,85.75767471,0,96,4,1,0,3.49009901,1,26.776267,53,28.14783255,48.58154461,81.9744995,318.5723025,0,1,0,0,0,3.559405941,81,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3862a046-dcf3-46d7-997d-1baac5d4fb3a,IyTv_SR2uUo,296,0.390249874,0.780597622,0.037499315,0.08259445,0.213628396,0.012735089,217,3.327702703,80,0,0,0,0,10.43434343,23,0,8,0,0,0,0,1.134039005,33.13511788,275.7722109,1.393287899,0,76,4,0,0,3.432432432,1,22.50590219,46,29.08468623,52.53367231,102.8195467,182.6881809,0,1,0,0,0,3.503378378,127,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,388a1bc5-7966-40d3-9f63-a5b34adaa906,YddVJx4yT1E,469,0.243436896,0.477239949,0.037763821,0.083703448,0.127672677,0.007997455,350,3.488272921,102,0,0,0,0,12.85319149,23,0,9,0,0,2,0,1.135825471,68.63070734,320.0439272,129.5049285,0,97,3,2,0,3.565031983,1,26.1629393,45,3.475368372,20.1983684,60.1480522,398.9154911,0,1,0,0,0,3.614072495,87,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,38a98518-a2e2-440c-bae4-631ae6bc013d,CKmVUlJ2iQg,432,0.04382284,0.09749958,0.008487185,0.030667284,0.047219321,0.005174328,497,3.622685185,109,0,0,0,0,14.40877598,29,0,11,0,0,0,0,4.712004724,56.12949688,256.6737573,150.6548305,0,101,6,2,0,3.837962963,6,13.47052023,33,48.96524933,143.0605504,299.9945365,132.1987459,0,6,0,0,0,3.935185185,62,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,38d9601d-33b8-4eea-9f03-efca9178fc08,UYsjWR1bZBc,318,0.314135413,0.533550943,0.036933853,0.081696285,0.173667958,0.009202551,70,3.726415094,73,0,0,0,0,14.30094044,23,0,9,0,0,7,0,1.326733061,15.13702484,166.5824201,139.9997287,0,72,1,0,0,3.839622642,1,24.29199372,50,23.80400156,50.98975683,65.4121332,249.5939872,0,1,0,0,0,3.927672956,74,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,38fb19dc-8758-4801-b8bc-bb3deea3646c,UYsjWR1bZBc,318,0.314135413,0.533550943,0.036933853,0.081696285,0.173667958,0.002342774,567,3.311320755,95,0,0,0,0,12.63322884,22,0,18,0,0,4,0,1.492488663,48.79954951,225.4292294,79.14233209,0,93,2,0,0,3.544025157,4,24.33594976,50,22.22429035,46.48602846,75.61671166,242.6659074,0,4,0,0,0,3.632075472,49,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,3921fe8a-4154-4058-acfc-04b598849d0f,CKmVUlJ2iQg,432,0.04382284,0.09749958,0.008487185,0.030667284,0.047219321,0.002342774,567,3.532407407,108,0,0,0,0,14.04387991,25,0,8,0,0,3,0,2.06622734,51.97857742,252.1684269,158.8273354,0,101,6,1,0,3.787037037,6,21.59306358,40,16.5583782,69.70002563,111.0209773,315.1170943,0,4,2,0,0,3.886574074,50,10,na,Sigmoid242_Sigmoid110_Softmax5
KLUDCP,398019fa-9afa-43bf-8215-a7b433ff5216,xe-f4gokRBs,398,0.320061809,0.583676382,0.03689196,0.082803015,0.172432663,3.33E-11,224,4.08040201,96,0,0,0,0,15.92230576,28,0,15,0,0,0,0,4.530469374,92.36272753,181.5958802,193.0047735,0,86,10,0,0,4.256281407,2,21.99749059,53,9.804265758,81.86366992,144.0660112,245.1378835,0,2,0,0,0,4.33919598,74,10,na,Sigmoid242_Sigmoid110_Softmax5
